day, python, haskell, c++, 
1, 13, 16, 35, 
1b, 16, 17, 37, 
2, 16, 38, 48, 
2b, 16, 41, 49, 
3, 14, 22, 33, 
3b, 26, 33, 55, 
4, 36, 56, 84, 
4b, 104, 94, 162, 
5, 18, 29, 35, 
5b, 26, 37, 41, 
6, 25, 17, 45, 
6b, 29, 23, 48, 
7, 44, 46, 107, 
7b, 37, 44, 85, 
8, 44, 41, 87, 
8b, 67, 67, 121, 
9, 14, 31, 50, 
9b, 24, 42, 68, 
10, 15, 24, 42, 
10b, 44, 33, 55, 
11, 44, 39, 89, 
11b, 66, 50, 100, 
12, 57, 34, 0, 
12b, 63, 34, 0, 
13, 25, 33, 0, 
13b, 54, 34, 0, 
14, 31, 74, 0, 
14b, 38, 93, 0, 
15, 25, 34, 0, 
15b, 25, 34, 0, 
16, 49, 78, 0, 
16b, 90, 137, 0, 
17, 69, 42, 0, 
17b, 78, 49, 0, 
18, 42, 36, 0, 
18b, 59, 36, 0, 
19, 61, 81, 0, 
19b, 59, 83, 0, 
20, 75, 86, 0, 
20b, 220, 271, 0, 
21, 56, 65, 0, 
21b, 73, 60, 0, 
22, 43, 51, 0, 
22b, 76, 66, 0, 
23, 58, 55, 0, 
23b, 0, 61, 0, 
24, 40, 35, 0, 
24b, 93, 69, 0, 
25, 22, 32, 0, 
25b, 0, 0, 0, 
